"package","version","declared_licence","repository_paths"
"crc-32","1.2.2","Apache-2.0","node_modules/crc-32"
"crc32-stream","6.0.0","MIT","node_modules/crc32-stream"
"create-require","1.1.1","MIT","node_modules/create-require"
"cron-parser","4.9.0","MIT","node_modules/cron-parser"
"cron","3.2.1","MIT","node_modules/cron"
"cross-spawn","7.0.6","MIT","node_modules/cross-spawn"
"data-uri-to-buffer","6.0.2","MIT","node_modules/data-uri-to-buffer"
"dayjs","1.11.20","MIT","node_modules/dayjs"
"debug","2.6.9","MIT","node_modules/debug"
"debug","4.4.3","MIT","node_modules/@puppeteer/browsers/node_modules/debug | node_modules/@tokenizer/inflate/node_modules/debug | node_modules/agent-base/node_modules/debug | node_modules/extract-zip/node_modules/debug | node_modules/get-uri/node_modules/debug | node_modules/http-proxy-agent/node_modules/debug | node_modules/https-proxy-agent/node_modules/debug | node_modules/ioredis/node_modules/debug | node_modules/pac-proxy-agent/node_modules/debug | node_modules/proxy-agent/node_modules/debug | node_modules/puppeteer-core/node_modules/debug | node_modules/socks-proxy-agent/node_modules/debug | node_modules/typeorm/node_modules/debug"
"decompress-response","6.0.0","MIT","node_modules/decompress-response"
"dedent","1.7.2","MIT","node_modules/dedent"
"deep-extend","0.6.0","MIT","node_modules/deep-extend"
"define-data-property","1.1.4","MIT","node_modules/define-data-property"
"degenerator","5.0.1","MIT","node_modules/degenerator"
"delegates","1.0.0","MIT","node_modules/delegates"
"denque","2.1.0","Apache-2.0","node_modules/denque"
"depd","2.0.0","MIT","node_modules/depd"
"destroy","1.2.0","MIT","node_modules/destroy"
"detect-libc","2.1.2","Apache-2.0","node_modules/detect-libc"
"devtools-protocol","0.0.1581282","BSD-3-Clause","node_modules/devtools-protocol"
"diff","4.0.4","BSD-3-Clause","node_modules/diff"
"dotenv-expand","10.0.0","BSD-2-Clause","node_modules/dotenv-expand"
"dotenv","16.4.5","BSD-2-Clause","node_modules/dotenv"
"dotenv","16.6.1","BSD-2-Clause","node_modules/typeorm/node_modules/dotenv"
"dunder-proto","1.0.1","MIT","node_modules/dunder-proto"
"duplexer2","0.1.4","BSD-3-Clause","node_modules/duplexer2"
"eastasianwidth","0.2.0","MIT","node_modules/eastasianwidth"
"ecdsa-sig-formatter","1.0.11","Apache-2.0","node_modules/ecdsa-sig-formatter"
"ee-first","1.1.1","MIT","node_modules/ee-first"
"emoji-regex","8.0.0","MIT","node_modules/emoji-regex"
"emoji-regex","9.2.2","MIT","node_modules/@isaacs/cliui/node_modules/emoji-regex"
"encodeurl","2.0.0","MIT","node_modules/encodeurl"
"encoding","0.1.13","MIT","node_modules/encoding"
"end-of-stream","1.4.5","MIT","node_modules/end-of-stream"
"env-paths","2.2.1","MIT","node_modules/env-paths"
"error-ex","1.3.4","MIT","node_modules/error-ex"
"es-define-property","1.0.1","MIT","node_modules/es-define-property"
"es-errors","1.3.0","MIT","node_modules/es-errors"
"es-object-atoms","1.1.1","MIT","node_modules/es-object-atoms"
"escalade","3.2.0","MIT","node_modules/escalade"
"escape-html","1.0.3","MIT","node_modules/escape-html"
"escodegen","2.1.0","BSD-2-Clause","node_modules/escodegen"
"esprima","4.0.1","BSD-2-Clause","node_modules/esprima"
"estraverse","5.3.0","BSD-2-Clause","node_modules/estraverse"
"esutils","2.0.3","BSD-2-Clause","node_modules/esutils"
"etag","1.8.1","MIT","node_modules/etag"
"event-target-shim","5.0.1","MIT","node_modules/event-target-shim"
"eventemitter2","6.4.9","MIT","node_modules/eventemitter2"
"events-universal","1.0.1","Apache-2.0","node_modules/events-universal"
"events","3.3.0","MIT","node_modules/events"
"expand-template","2.0.3","(MIT OR WTFPL)","node_modules/expand-template"
"express","4.22.1","MIT","node_modules/express"
"extract-zip","2.0.1","BSD-2-Clause","node_modules/extract-zip"
"fast-fifo","1.3.2","MIT","node_modules/fast-fifo"
"fast-safe-stringify","2.1.1","MIT","node_modules/fast-safe-stringify"
"fd-slicer","1.1.0","MIT","node_modules/fd-slicer"
"fflate","0.8.2","MIT","node_modules/fflate"
"file-type","20.4.1","MIT","node_modules/file-type"
"file-uri-to-path","1.0.0","MIT","node_modules/file-uri-to-path"
"finalhandler","1.3.2","MIT","node_modules/finalhandler"
"fluent-ffmpeg","2.1.3","MIT","node_modules/fluent-ffmpeg"
"for-each","0.3.5","MIT","node_modules/for-each"
"foreground-child","3.3.1","ISC","node_modules/foreground-child"
"forwarded","0.2.0","MIT","node_modules/forwarded"
"fresh","0.5.2","MIT","node_modules/fresh"
"fs-constants","1.0.0","MIT","node_modules/fs-constants"
"fs-extra","11.3.4","MIT","node_modules/whatsapp-web.js/node_modules/fs-extra"
"fs-extra","11.3.5","MIT","node_modules/unzipper/node_modules/fs-extra"
"fs-minipass","2.1.0","ISC","node_modules/fs-minipass"
"fs.realpath","1.0.0","ISC","node_modules/fs.realpath"
"function-bind","1.1.2","MIT","node_modules/function-bind"
"gauge","3.0.2","ISC","node_modules/gauge"
"get-caller-file","2.0.5","ISC","node_modules/get-caller-file"
"get-intrinsic","1.3.0","MIT","node_modules/get-intrinsic"
"get-proto","1.0.1","MIT","node_modules/get-proto"
"get-stream","5.2.0","MIT","node_modules/extract-zip/node_modules/get-stream"
"get-uri","6.0.5","MIT","node_modules/get-uri"
"github-from-package","0.0.0","MIT","node_modules/github-from-package"
"glob","10.4.5","ISC","node_modules/glob"
"glob","10.5.0","ISC","node_modules/typeorm/node_modules/glob"
"glob","7.2.3","ISC","node_modules/rimraf/node_modules/glob"
"gopd","1.2.0","MIT","node_modules/gopd"
"graceful-fs","4.2.11","ISC","node_modules/graceful-fs"
"has-flag","4.0.0","MIT","node_modules/has-flag"
"has-property-descriptors","1.0.2","MIT","node_modules/has-property-descriptors"
"has-symbols","1.1.0","MIT","node_modules/has-symbols"
"has-tostringtag","1.0.2","MIT","node_modules/has-tostringtag"
"has-unicode","2.0.1","ISC","node_modules/has-unicode"
"hasown","2.0.2","MIT","node_modules/hasown"
"helmet","8.3.0","MIT","node_modules/helmet"
"http-errors","2.0.1","MIT","node_modules/http-errors"
"http-proxy-agent","7.0.2","MIT","node_modules/http-proxy-agent"
"https-proxy-agent","5.0.1","MIT","node_modules/https-proxy-agent"
"https-proxy-agent","7.0.6","MIT","node_modules/pac-proxy-agent/node_modules/https-proxy-agent | node_modules/proxy-agent/node_modules/https-proxy-agent"
"iconv-lite","0.4.24","MIT","node_modules/iconv-lite"
"iconv-lite","0.6.3","MIT","node_modules/encoding/node_modules/iconv-lite"
"ieee754","1.2.1","BSD-3-Clause","node_modules/ieee754"
"import-fresh","3.3.1","MIT","node_modules/import-fresh"
"inflight","1.0.6","ISC","node_modules/inflight"
"inherits","2.0.4","ISC","node_modules/inherits"
"ini","1.3.8","ISC","node_modules/rc/node_modules/ini"
"ioredis","5.11.1","MIT","node_modules/ioredis"
"ip-address","10.1.0","MIT","node_modules/ip-address"
"ipaddr.js","1.9.1","MIT","node_modules/ipaddr.js"
"is-arrayish","0.2.1","MIT","node_modules/is-arrayish"
"is-callable","1.2.7","MIT","node_modules/is-callable"
"is-fullwidth-code-point","3.0.0","MIT","node_modules/is-fullwidth-code-point"
"is-stream","2.0.1","MIT","node_modules/is-stream"
"is-typed-array","1.1.15","MIT","node_modules/is-typed-array"
"isarray","1.0.0","MIT","node_modules/duplexer2/node_modules/isarray | node_modules/lazystream/node_modules/isarray"
"isarray","2.0.5","MIT","node_modules/isarray"
"isexe","2.0.0","ISC","node_modules/isexe"
"iterare","1.2.1","ISC","node_modules/iterare"
"jackspeak","3.4.3","BlueOak-1.0.0","node_modules/jackspeak"
