"package","version","in_repository_production_resolution","in_packaged_application","packaged_instance_count","declared_licence","collected_direct_text_count","technical_classification"
"make-error","1.3.6","true","false","0","ISC","0","NOT_SHIPPED"
"math-intrinsics","1.1.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"media-typer","0.3.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"merge-descriptors","1.0.3","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"methods","1.1.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"mime-db","1.52.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"mime-types","2.1.35","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"mime","1.6.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"mime","3.0.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"mimic-response","3.1.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"minimatch","3.1.5","true","false","0","ISC","0","NOT_SHIPPED"
"minimatch","5.1.9","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"minimatch","9.0.9","true","true","2","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"minimist","1.2.8","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"minipass","3.3.6","true","false","0","ISC","0","NOT_SHIPPED"
"minipass","5.0.0","true","false","0","ISC","0","NOT_SHIPPED"
"minipass","7.1.3","true","true","1","BlueOak-1.0.0","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"minizlib","2.1.2","true","false","0","MIT","0","NOT_SHIPPED"
"mitt","3.0.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"mkdirp-classic","0.5.3","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"mkdirp","1.0.4","true","false","0","MIT","0","NOT_SHIPPED"
"ms","2.0.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"ms","2.1.3","true","true","11","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"msgpackr-extract","3.0.4","true","false","0","MIT","0","NOT_SHIPPED"
"msgpackr","2.0.4","true","false","0","MIT","0","NOT_SHIPPED"
"multer","2.3.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"napi-build-utils","2.0.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"negotiator","0.6.3","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"netmask","2.1.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"node-abi","3.89.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"node-abort-controller","3.1.1","true","false","0","MIT","0","NOT_SHIPPED"
"node-addon-api","5.1.0","true","false","0","MIT","0","NOT_SHIPPED"
"node-fetch","2.7.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"node-gyp-build-optional-packages","5.2.2","true","false","0","MIT","0","NOT_SHIPPED"
"node-int64","0.4.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"node-webpmux","3.2.1","true","true","1","LGPL-3.0-or-later","1","SHIPPED_LEGAL_COPYLEFT_REVIEW"
"nodemailer","6.10.1","true","false","0","MIT-0","0","NOT_SHIPPED"
"nopt","5.0.0","true","false","0","ISC","0","NOT_SHIPPED"
"normalize-path","3.0.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"npmlog","5.0.1","true","false","0","ISC","0","NOT_SHIPPED"
"object-assign","4.1.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"object-inspect","1.13.4","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"on-finished","2.4.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"once","1.4.0","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"pac-proxy-agent","7.2.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"pac-resolver","7.0.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"package-json-from-dist","1.0.1","true","true","1","BlueOak-1.0.0","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"parent-module","1.0.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"parse-json","5.2.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"parseurl","1.3.3","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"path-is-absolute","1.0.1","true","false","0","MIT","0","NOT_SHIPPED"
"path-key","3.1.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"path-scurry","1.11.1","true","true","1","BlueOak-1.0.0","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"path-to-regexp","0.1.13","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"path-to-regexp","3.3.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"patrol-evidence-web","1.0.0","true","false","0","[missing]","0","NOT_SHIPPED"
"pend","1.2.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"pg-cloudflare","1.3.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"pg-connection-string","2.12.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"pg-int8","1.0.1","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"pg-pool","3.13.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"pg-protocol","1.13.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"pg-types","2.2.0","true","true","1","MIT","0","SHIPPED_NOTICE_TEXT_COLLECTED"
"pg","8.20.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"pgpass","1.0.5","true","true","1","MIT","0","SHIPPED_NOTICE_TEXT_COLLECTED"
"picocolors","1.1.1","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"possible-typed-array-names","1.1.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"postgres-array","2.0.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"postgres-bytea","1.0.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"postgres-date","1.0.7","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"postgres-interval","1.2.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"prebuild-install","7.1.3","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"prisma","5.22.0","true","false","0","Apache-2.0","0","NOT_SHIPPED"
"process-nextick-args","2.0.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"process","0.11.10","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"progress","2.0.3","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"prop-types","15.8.1","true","false","0","MIT","0","NOT_SHIPPED"
"proxy-addr","2.0.7","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"proxy-agent","6.5.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"proxy-from-env","1.1.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"pump","3.0.4","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"puppeteer-core","24.38.0","true","true","1","Apache-2.0","0","SHIPPED_NOTICE_TEXT_COLLECTED"
"puppeteer","24.38.0","true","true","1","Apache-2.0","0","SHIPPED_NOTICE_TEXT_COLLECTED"
"qrcode-generator","2.0.4","true","false","0","MIT","0","NOT_SHIPPED"
"qrcode-terminal","0.12.0","true","true","1","Apache 2.0","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"qs","6.14.2","true","true","1","BSD-3-Clause","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"range-parser","1.2.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"raw-body","2.5.3","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"rc","1.2.8","true","true","1","(BSD-2-Clause OR MIT OR Apache-2.0)","3","SHIPPED_LEGAL_SPECIAL_REVIEW"
"react-dom","18.3.1","true","false","0","MIT","0","NOT_SHIPPED"
"react-is","16.13.1","true","false","0","MIT","0","NOT_SHIPPED"
"react-qr-code","2.2.0","true","false","0","MIT","0","NOT_SHIPPED"
"react-router-dom","6.30.4","true","false","0","MIT","0","NOT_SHIPPED"
"react-router","6.30.4","true","false","0","MIT","0","NOT_SHIPPED"
"react","18.3.1","true","false","0","MIT","0","NOT_SHIPPED"
"readable-stream","2.3.8","true","true","2","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"readable-stream","3.6.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"readable-stream","4.7.0","true","true","5","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"readdir-glob","1.1.3","true","true","1","Apache-2.0","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"redis-errors","1.2.0","true","false","0","MIT","0","NOT_SHIPPED"
"redis-parser","3.0.0","true","false","0","MIT","0","NOT_SHIPPED"
"reflect-metadata","0.2.2","true","true","1","Apache-2.0","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"require-directory","2.1.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"resolve-from","4.0.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"rimraf","3.0.2","true","false","0","ISC","0","NOT_SHIPPED"
"rxjs","7.8.2","true","true","1","Apache-2.0","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"safe-buffer","5.1.2","true","true","2","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"safe-buffer","5.2.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"safer-buffer","2.1.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"scheduler","0.23.2","true","false","0","MIT","0","NOT_SHIPPED"
"semver","6.3.1","true","false","0","ISC","0","NOT_SHIPPED"
"semver","7.8.5","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"send","0.19.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"serve-static","1.16.3","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"set-blocking","2.0.0","true","false","0","ISC","0","NOT_SHIPPED"
"set-function-length","1.2.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"setprototypeof","1.2.0","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"sha.js","2.4.12","true","true","1","(MIT AND BSD-3-Clause)","1","SHIPPED_LEGAL_SPECIAL_REVIEW"
"sharp","0.35.4","true","true","1","Apache-2.0","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"shebang-command","2.0.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"shebang-regex","3.0.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"side-channel-list","1.0.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"side-channel-map","1.0.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"side-channel-weakmap","1.0.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"side-channel","1.1.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"signal-exit","3.0.7","true","false","0","ISC","0","NOT_SHIPPED"
"signal-exit","4.1.0","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"simple-concat","1.0.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"simple-get","4.0.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"smart-buffer","4.2.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"socks-proxy-agent","8.0.5","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"socks","2.8.7","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"source-map","0.6.1","true","true","1","BSD-3-Clause","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"split2","4.2.0","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"sql-highlight","6.1.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"standard-as-callback","2.1.0","true","false","0","MIT","0","NOT_SHIPPED"
"statuses","2.0.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"streamsearch","1.1.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"streamx","2.25.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"string_decoder","1.1.1","true","true","2","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"string_decoder","1.3.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"string-width","4.2.3","true","true","2","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"string-width","5.1.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"strip-ansi","6.0.1","true","true","2","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"strip-ansi","7.2.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"strip-json-comments","2.0.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"stripe","17.7.0","true","false","0","MIT","0","NOT_SHIPPED"
"strtok3","10.3.4","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"supports-color","7.2.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"swagger-ui-dist","5.17.14","true","false","0","Apache-2.0","0","NOT_SHIPPED"
"tar-fs","2.1.4","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"tar-fs","3.1.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"tar-stream","2.2.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"tar-stream","3.2.0","true","true","2","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"tar","6.2.1","true","false","0","ISC","0","NOT_SHIPPED"
"teex","1.0.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"text-decoder","1.2.7","true","true","1","Apache-2.0","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"to-buffer","1.2.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"toidentifier","1.0.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"token-types","6.1.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"tr46","0.0.3","true","true","1","MIT","0","SHIPPED_NOTICE_TEXT_COLLECTED"
"ts-node","10.9.2","true","false","0","MIT","0","NOT_SHIPPED"
"tslib","2.8.1","true","true","1","0BSD","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"tunnel-agent","0.6.0","true","true","1","Apache-2.0","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"type-fest","0.20.2","true","false","0","(MIT OR CC0-1.0)","0","NOT_SHIPPED"
"type-is","1.6.18","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"typed-array-buffer","1.0.3","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"typed-query-selector","2.12.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"typedarray","0.0.6","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"typeorm","0.3.28","true","true","1","MIT","0","SHIPPED_NOTICE_TEXT_COLLECTED"
"typescript","5.9.3","true","false","0","Apache-2.0","0","NOT_SHIPPED"
"uid","2.0.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"uint8array-extras","1.5.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"undici-types","6.21.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"universalify","2.0.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"unpipe","1.0.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"unzipper","0.12.3","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"util-deprecate","1.0.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"utils-merge","1.0.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"uuid","11.0.3","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"uuid","11.1.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"uuid","9.0.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"v8-compile-cache-lib","3.0.1","true","false","0","MIT","0","NOT_SHIPPED"
"validator","13.15.26","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"vary","1.1.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"webdriver-bidi-protocol","0.4.1","true","true","1","Apache-2.0","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"webidl-conversions","3.0.1","true","true","1","BSD-2-Clause","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"whatsapp-web.js","1.34.7","true","true","1","Apache-2.0","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"whatwg-url","5.0.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"which-typed-array","1.1.20","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"which","1.3.1","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"which","2.0.2","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"wide-align","1.1.5","true","false","0","ISC","0","NOT_SHIPPED"
"widest-line","3.1.0","true","false","0","MIT","0","NOT_SHIPPED"
"wrap-ansi","7.0.0","true","true","2","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"wrap-ansi","8.1.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"wrappy","1.0.2","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"ws","8.20.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"xtend","4.0.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"y18n","5.0.8","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"yallist","4.0.0","true","false","0","ISC","0","NOT_SHIPPED"
"yargs-parser","21.1.1","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"yargs","17.7.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"yauzl","2.10.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"yn","3.1.1","true","false","0","MIT","0","NOT_SHIPPED"
"zip-stream","6.0.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"zod","3.25.76","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
