"package","version","in_repository_production_resolution","in_packaged_application","packaged_instance_count","declared_licence","collected_direct_text_count","technical_classification"
"@tsconfig/node12","1.0.11","true","false","0","MIT","0","NOT_SHIPPED"
"@tsconfig/node14","1.0.3","true","false","0","MIT","0","NOT_SHIPPED"
"@tsconfig/node16","1.0.4","true","false","0","MIT","0","NOT_SHIPPED"
"@types/jsonwebtoken","9.0.5","true","false","0","MIT","0","NOT_SHIPPED"
"@types/luxon","3.4.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"@types/node","20.19.37","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"@types/validator","13.15.10","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"@types/yauzl","2.10.3","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"abbrev","1.1.1","true","false","0","ISC","0","NOT_SHIPPED"
"abort-controller","3.0.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"accepts","1.3.8","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"acorn-walk","8.3.5","true","false","0","MIT","0","NOT_SHIPPED"
"acorn","8.16.0","true","false","0","MIT","0","NOT_SHIPPED"
"agent-base","6.0.2","true","false","0","MIT","0","NOT_SHIPPED"
"agent-base","7.1.4","true","true","4","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"ansi-align","3.0.1","true","false","0","ISC","0","NOT_SHIPPED"
"ansi-regex","5.0.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"ansi-regex","6.2.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"ansi-styles","4.3.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"ansi-styles","6.2.3","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"ansis","4.2.0","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"app-root-path","3.1.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"append-field","1.0.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"aproba","2.1.0","true","false","0","ISC","0","NOT_SHIPPED"
"archiver-utils","5.0.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"archiver","7.0.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"are-we-there-yet","2.0.0","true","false","0","ISC","0","NOT_SHIPPED"
"arg","4.1.3","true","false","0","MIT","0","NOT_SHIPPED"
"argparse","2.0.1","true","true","1","Python-2.0","1","SHIPPED_LEGAL_SPECIAL_REVIEW"
"array-flatten","1.1.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"ast-types","0.13.4","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"async","0.2.10","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"async","3.2.6","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"available-typed-arrays","1.0.7","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"b4a","1.8.1","true","true","1","Apache-2.0","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"balanced-match","1.0.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"bare-events","2.8.3","true","true","1","Apache-2.0","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"bare-fs","4.7.1","true","true","1","Apache-2.0","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"bare-os","3.9.1","true","true","1","Apache-2.0","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"bare-path","3.0.0","true","true","1","Apache-2.0","2","SHIPPED_NOTICE_TEXT_COLLECTED"
"bare-stream","2.13.1","true","true","1","Apache-2.0","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"bare-url","2.4.3","true","true","1","Apache-2.0","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"base64-js","1.5.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"basic-ftp","5.3.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"bcrypt","5.1.1","true","false","0","MIT","0","NOT_SHIPPED"
"better-sqlite3","12.9.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"bindings","1.5.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"bl","4.1.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"bluebird","3.7.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"body-parser","1.20.4","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"boxen","5.1.2","true","false","0","MIT","0","NOT_SHIPPED"
"brace-expansion","1.1.12","true","false","0","MIT","0","NOT_SHIPPED"
"brace-expansion","2.0.2","true","true","2","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"brace-expansion","2.1.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"buffer-crc32","0.2.13","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"buffer-crc32","1.0.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"buffer-equal-constant-time","1.0.1","true","false","0","BSD-3-Clause","0","NOT_SHIPPED"
"buffer-from","1.1.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"buffer","5.7.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"buffer","6.0.3","true","true","6","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"bullmq","5.80.10","true","false","0","MIT","0","NOT_SHIPPED"
"busboy","1.6.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"bytes","3.1.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"call-bind-apply-helpers","1.0.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"call-bind","1.0.8","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"call-bound","1.0.4","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"callsites","3.1.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"camelcase","6.3.0","true","false","0","MIT","0","NOT_SHIPPED"
"chalk","4.1.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"check-disk-space","3.4.0","true","false","0","MIT","0","NOT_SHIPPED"
"chownr","1.1.4","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"chownr","2.0.0","true","false","0","ISC","0","NOT_SHIPPED"
"chromium-bidi","14.0.0","true","true","1","Apache-2.0","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"class-transformer","0.5.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"class-validator","0.14.4","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"cli-boxes","2.2.1","true","false","0","MIT","0","NOT_SHIPPED"
"cliui","8.0.1","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"cluster-key-slot","1.1.1","true","false","0","Apache-2.0","0","NOT_SHIPPED"
"color-convert","2.0.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"color-name","1.1.4","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"color-support","1.1.3","true","false","0","ISC","0","NOT_SHIPPED"
"compress-commons","6.0.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"concat-map","0.0.1","true","false","0","MIT","0","NOT_SHIPPED"
"concat-stream","2.0.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"consola","2.15.3","true","true","1","MIT","0","SHIPPED_NOTICE_TEXT_COLLECTED"
"console-control-strings","1.1.0","true","false","0","ISC","0","NOT_SHIPPED"
"content-disposition","0.5.4","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"content-type","1.0.5","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"cookie-signature","1.0.7","true","true","1","MIT","0","SHIPPED_NOTICE_TEXT_COLLECTED"
"cookie","0.7.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"core-util-is","1.0.3","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"cors","2.8.5","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"cosmiconfig","9.0.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"crc-32","1.2.2","true","true","1","Apache-2.0","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"crc32-stream","6.0.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"create-require","1.1.1","true","false","0","MIT","0","NOT_SHIPPED"
"cron-parser","4.9.0","true","false","0","MIT","0","NOT_SHIPPED"
"cron","3.2.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"cross-spawn","7.0.6","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"data-uri-to-buffer","6.0.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"dayjs","1.11.20","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"debug","2.6.9","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"debug","4.4.3","true","true","10","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"decompress-response","6.0.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"dedent","1.7.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"deep-extend","0.6.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"define-data-property","1.1.4","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"degenerator","5.0.1","true","true","1","MIT","0","SHIPPED_NOTICE_TEXT_COLLECTED"
"delegates","1.0.0","true","false","0","MIT","0","NOT_SHIPPED"
"denque","2.1.0","true","false","0","Apache-2.0","0","NOT_SHIPPED"
"depd","2.0.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"destroy","1.2.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"detect-libc","2.1.2","true","true","1","Apache-2.0","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"devtools-protocol","0.0.1581282","true","true","1","BSD-3-Clause","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"diff","4.0.4","true","false","0","BSD-3-Clause","0","NOT_SHIPPED"
"dotenv-expand","10.0.0","true","true","1","BSD-2-Clause","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"dotenv","16.4.5","true","true","1","BSD-2-Clause","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"dotenv","16.6.1","true","true","1","BSD-2-Clause","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"dunder-proto","1.0.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"duplexer2","0.1.4","true","true","1","BSD-3-Clause","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"eastasianwidth","0.2.0","true","true","1","MIT","0","SHIPPED_NOTICE_TEXT_COLLECTED"
"ecdsa-sig-formatter","1.0.11","true","false","0","Apache-2.0","0","NOT_SHIPPED"
"ee-first","1.1.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"emoji-regex","8.0.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"emoji-regex","9.2.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"encodeurl","2.0.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"encoding","0.1.13","true","false","0","MIT","0","NOT_SHIPPED"
"end-of-stream","1.4.5","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"env-paths","2.2.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"error-ex","1.3.4","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"es-define-property","1.0.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"es-errors","1.3.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"es-object-atoms","1.1.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"escalade","3.2.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"escape-html","1.0.3","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"escodegen","2.1.0","true","true","1","BSD-2-Clause","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"esprima","4.0.1","true","true","1","BSD-2-Clause","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"estraverse","5.3.0","true","true","1","BSD-2-Clause","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"esutils","2.0.3","true","true","1","BSD-2-Clause","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"etag","1.8.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"event-target-shim","5.0.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"eventemitter2","6.4.9","true","false","0","MIT","0","NOT_SHIPPED"
"events-universal","1.0.1","true","true","1","Apache-2.0","1","SHIPPED_NOTICE_TEXT_COLLECTED"
